data_size,alpha,t_grok,final_acc
500,1.0,,79.56
500,0.5,,81.04
500,2.0,,87.13
500,4.0,,86.35
1500,4.0,,89.81
1500,1.0,,88.45
1500,2.0,,91.71
1500,0.5,,87.25
10000,2.0,600.0,94.82
3000,2.0,,92.84
2000,2.0,,91.85
2000,4.0,,88.44
1000,2.0,,90.58
3000,1.0,200.0,93.04
5000,0.5,200.0,94.15
800,1.0,,84.87
8000,1.0,200.0,94.98
1000,4.0,,87.4
800,2.0,,88.73
10000,1.0,200.0,95.64
2000,0.5,,90.77
200,2.0,,82.41
8000,4.0,,89.65
2000,1.0,,90.39
1000,1.0,,86.95
8000,2.0,1000.0,94.05
5000,2.0,,93.36
8000,0.5,200.0,95.36
200,0.5,,84.67
5000,1.0,200.0,94.45
200,4.0,,61.47
10000,4.0,,89.49
10000,0.5,200.0,95.65
800,4.0,,86.59
5000,4.0,,90.32
3000,4.0,,88.37
200,1.0,,84.7
800,0.5,,84.09
3000,0.5,400.0,91.74
1000,0.5,,82.94
500,6.0,,77.68
200,6.0,,29.73
500,8.0,,59.79
500,10.0,,30.62
1500,6.0,,83.9
1000,6.0,,84.42
800,6.0,,83.27
2000,6.0,,79.44
3000,6.0,,87.26
500,12.0,,14.44
5000,6.0,,87.24
1500,8.0,,80.27
8000,6.0,,81.73
1500,10.0,,62.67
10000,6.0,,90.92
2000,8.0,,61.58
8000,8.0,,85.86
800,10.0,,40.65
800,8.0,,68.84
200,8.0,,14.47
10000,8.0,,89.85
3000,8.0,,76.05
1000,8.0,,75.63
1000,10.0,,54.56
200,10.0,,10.19
5000,8.0,,66.11
3000,10.0,,42.42
8000,10.0,,87.04
5000,10.0,,80.98
2000,10.0,,54.46
10000,10.0,,86.64
1500,12.0,,52.05
200,12.0,,11.13
1000,12.0,,30.47
800,12.0,,20.64
2000,12.0,,57.64
3000,12.0,,75.48
5000,12.0,,58.46
8000,12.0,,11.61
10000,12.0,,89.05
500,15.0,,10.49
200,15.0,,10.07
500,20.0,,10.24
1500,15.0,,22.58
800,15.0,,10.21
1000,15.0,,11.13
3000,15.0,,72.8
2000,15.0,,58.25
8000,15.0,,82.76
5000,15.0,,11.53
1500,20.0,,10.14
800,20.0,,10.67
200,20.0,,11.14
1000,20.0,,10.74
5000,20.0,,75.66
2000,20.0,,16.73
10000,20.0,,84.38
3000,20.0,,72.69
8000,20.0,,83.09
10000,15.0,,88.42
